,customer_id,gender,customer_latitude,customer_longitude,vendor_id,vendor_latitude,vendor_longitude,delivery_charge,serving_distance,vendor_rating,preparation_time,discount_percentage,sunday_duration,monday_duration,tuesday_duration,wednesday_duration,thursday_duration,friday_duration,saturday_duration,junk_food,snack,beverage,healthy,free_delivery,country,distance,total
0,161,1,-96.44,-67.2,4,-0.5884,0.7544,0.0,6.0,4.4,15,0.0,30,30,30,30,30,30,30,1,0,0,1,1,0.0375,10210.781498198536,102122.81498198536
1,161,1,-96.44,-67.2,13,-0.4717,0.7446,0.7,5.0,4.7,14,0.0,90,90,90,90,90,90,90,1,0,0,1,0,0.0375,10223.800917761337,102252.00917761336
2,161,1,-96.44,-67.2,20,-0.4075,0.6436,0.0,8.0,4.5,19,0.0,1365,885,885,885,885,885,885,0,0,0,1,1,0.8,10232.068677512427,102339.68677512427
3,161,1,-96.44,-67.2,23,-0.5854,0.754,0.0,5.0,4.5,16,0.0,1410,870,870,870,885,885,885,1,0,0,1,0,0.8,10211.117900120329,102127.17900120329
4,161,1,-96.44,-67.2,28,0.4807,0.5527,0.7,15.0,4.4,10,0.0,30,29,29,29,29,89,89,0,0,0,0,0,0.8,10331.347778044692,103323.47778044692
5,161,1,-96.44,-67.2,33,-0.4946,0.743,0.7,6.0,4.6,17,0.0,1439,959,899,899,959,959,929,0,0,0,0,0,0.8,10221.286866765291,102229.86866765292
6,161,1,-96.44,-67.2,43,-0.115,0.546,0.7,15.0,4.3,15,0.0,30,29,29,29,29,89,89,1,0,0,0,0,0.8,10265.544924501532,102670.44924501532
7,161,1,-96.44,-67.2,44,-0.9365,0.0819,0.7,15.0,4.3,14,0.0,30,29,29,29,29,89,89,1,0,0,0,0,0.8,10180.041575806046,101814.41575806047
8,161,1,-96.44,-67.2,55,-1.17,0.10345,0.7,10.0,4.5,19,0.0,1380,840,840,840,840,720,720,1,0,1,1,0,0.8,10153.968995898862,101558.68995898862
9,161,1,-96.44,-67.2,66,0.4875,0.565,0.0,15.0,4.0,20,10.0,1305,705,705,705,705,285,285,1,0,0,1,0,0.05,10331.95763790768,103339.57637907681
10,161,1,-96.44,-67.2,67,-0.181,0.4905,0.0,15.0,4.3,15,0.0,1380,840,840,840,840,720,720,1,0,1,1,0,0.8,10258.886763253673,102603.86763253673
11,161,1,-96.44,-67.2,75,-0.6006,0.7559999999999999,0.7,5.0,4.6,15,0.0,1350,690,690,690,690,631,690,0,0,0,1,0,0.025,10209.413772140168,102109.13772140167
12,161,1,-96.44,-67.2,76,0.2563,0.5767,0.7,15.0,4.6,15,0.0,1290,810,810,810,810,210,810,1,0,0,1,0,0.8,10306.253376515846,103077.53376515846
13,161,1,-96.44,-67.2,78,-0.555,0.1963,0.7,15.0,4.4,17,0.0,120,119,119,119,119,119,119,1,0,0,1,0,0.0375,10220.917312646503,102226.17312646503
14,161,1,-96.44,-67.2,79,0.635,0.5273,0.0,15.0,4.7,15,0.0,1425,765,765,765,765,405,765,1,0,0,1,1,0.8,10348.70580190326,103502.05801903259
15,161,1,-96.44,-67.2,81,-0.7120000000000001,0.06335,0.0,15.0,3.8,15,0.0,59,58,58,58,58,58,59,0,1,0,1,0,0.0125,10205.084270183566,102065.84270183566
16,161,1,-96.44,-67.2,82,-0.4172,0.6459999999999999,0.7,8.0,4.4,11,0.0,90,89,89,89,89,89,89,1,1,0,1,0,0.0375,10230.96818895201,102320.68188952011
17,161,1,-96.44,-67.2,83,-0.9277,0.1459,0.7,15.0,4.2,15,0.0,1425,765,765,765,765,765,765,0,0,0,1,0,0.8,10180.278213813714,101817.78213813713
18,161,1,-96.44,-67.2,84,-1.005,0.07874,0.0,15.0,4.3,14,0.0,1425,765,765,765,750,420,779,1,0,0,1,0,0.8,10172.501976928415,101739.01976928415
19,161,1,-96.44,-67.2,85,-0.6,0.7559999999999999,0.0,5.0,4.6,15,50.0,1425,706,706,706,706,585,706,0,0,0,0,0,0.8,10209.48012729445,102109.80127294449
20,161,1,-96.44,-67.2,86,-0.498,0.058,0.0,15.0,4.5,13,0.0,1425,915,915,915,915,465,915,1,0,1,1,0,0.8,10228.813788139652,102301.13788139653
21,161,1,-96.44,-67.2,90,-0.601,0.096,0.0,15.0,4.4,14,0.0,45,44,44,44,44,44,44,1,0,1,1,0,0.8,10216.984845313762,102183.84845313762
22,161,1,-96.44,-67.2,92,-0.4922,0.7440000000000001,0.7,6.0,4.6,14,0.0,1320,540,540,540,600,600,540,0,0,1,0,0,0.8,10221.540722207052,102229.40722207051
23,161,1,-96.44,-67.2,104,-0.03244,0.6559999999999999,0.0,2.0,4.5,10,0.0,30,29,29,29,29,29,29,1,0,0,0,1,0.8,10273.404173154582,102744.04173154582
24,161,1,-96.44,-67.2,105,-0.968,0.0808,0.0,15.0,4.5,12,0.0,30,29,29,29,29,29,29,1,0,0,0,1,0.8,10176.570398454085,101777.70398454086
25,161,1,-96.44,-67.2,106,0.6187,0.5273,0.0,15.0,4.5,10,0.0,15,14,14,14,14,14,14,1,0,0,0,1,0.8,10346.90313973441,103479.0313973441
26,161,1,-96.44,-67.2,110,0.0168,0.5479999999999999,0.7,15.0,4.6,18,35.0,90,90,90,90,90,90,90,0,0,0,1,0,0.025,10280.098012278118,102818.98012278118
27,161,1,-96.44,-67.2,113,0.6304,0.527,0.0,15.0,4.7,10,0.0,1380,720,720,720,720,601,661,0,0,0,1,1,0.8,10348.200542351644,103492.00542351644
28,161,1,-96.44,-67.2,115,0.579,0.5283,0.0,15.0,4.8,13,0.0,1425,825,825,825,825,525,825,0,0,0,1,1,0.8,10342.501048649856,103438.01048649856
29,161,1,-96.44,-67.2,134,-0.05627000000000002,0.6323,0.0,15.0,4.5,16,0.0,1305,705,705,705,705,705,705,1,0,1,1,0,0.8,10271.042750868086,102726.42750868086
30,161,1,-96.44,-67.2,145,-0.606,0.07293999999999999,0.0,15.0,3.2,10,0.0,59,58,58,58,58,58,58,1,0,0,0,0,0.8,10216.697279894193,102176.97279894193
31,161,1,-96.44,-67.2,148,-0.483,0.076,0.7,15.0,4.1,16,15.0,30,29,29,29,29,30,29,1,0,0,1,0,0.8,10230.265581228017,102318.65581228017
32,161,1,-96.44,-67.2,149,-0.02765,0.5273,0.7,15.0,4.2,15,0.0,1350,675,675,675,675,570,675,0,0,0,0,0,0.8,10275.42127923531,102769.2127923531
33,161,1,-96.44,-67.2,154,-0.872,0.0994,0.7,15.0,4.5,15,0.0,15,14,14,14,14,14,779,1,1,0,1,0,0.8,10186.973745281994,101884.73745281994
34,161,1,-96.44,-67.2,157,0.055879999999999985,0.534,0.7,15.0,4.3,15,0.0,930,270,270,270,270,151,270,0,0,0,1,0,0.05,10284.581742555054,102860.81742555054
35,161,1,-96.44,-67.2,159,-0.6,0.7563,0.0,6.0,4.5,13,0.0,1425,720,720,720,720,645,700,1,0,0,0,0,0.8,10209.476657681762,102107.76657681762
